country_name,country_code,dem_vdem,rle_vdem,prop_vdem,fh_cl,fh_pr,rle_wb,dem_polity,area,pop,pop_rural,gini,nat_resources,gdp_pc.1995,region,educ,conflict,elec_access,life_exp,gdp_pc
Bosnia and Herzegovina,BIH,0.545,0.501,0.856,3,4,-0.281,NA,51537.975,3429361,1811629,NA,1.013488849,768.9174909,1,NA,0,100,76.998,4938.238431
Bulgaria,BGR,0.724,0.704,0.851,2,2,-0.097,9,111083.068,7177991,1866995,38.6,0.65940609,4021.722817,1,11.28,0,100,74.81219512,7377.063449
Comoros,COM,0.503,0.307,0.661,4,3,-0.815,9,1726.736,777424,556099,NA,2.465839676,1155.113733,4,NA,0,76.78272247,63.7,1254.540115
Croatia,HRV,0.827,0.762,0.846,2,1,0.2,9,55889.115,4203604,1843070,31.1,0.694377569,7263.570884,1,NA,0,100,78.02195122,12279.33386
Cuba,CUB,0.182,0.261,0.246,6,7,-0.701,-7,109740.925,11324781,2616476,NA,0.692245052,3360.317244,2,10.28,0,98.95259857,78.607,7726.495044
Cyprus,CYP,0.858,0.922,0.874,1,1,1.04,10,9157.709,1160985,383753,34,0.019967407,19452.4874,5,9.325,0,100,80.513,29523.86515
Czech Republic,CZE,0.843,0.907,0.891,1,1,1.148,9,78668.412,10546059,2797131,25.9,0.309695938,11219.15007,1,11.247,0,100,79.02682927,18247.01173
Denmark,DNK,0.902,0.994,0.914,1,1,2.042,10,42604.674,5683483,708958,28.2,0.534416293,43310.25009,5,12.07,0,100,80.85365854,54556.06895
Equatorial Guinea,GNQ,0.183,0.035,0.54,7,7,-1.456,-6,27102.467,1168568,343374,NA,17.98058014,709.8651917,4,NA,0,66.13747406,57.713,9894.006294
Estonia,EST,0.9,0.979,0.898,1,1,1.332,9,45791.58,1315407,415458,32.7,1.145025253,7134.660923,1,11.456,0,100,77.64146341,17938.72927
Fiji,FJI,0.434,0.712,0.623,3,3,-0.404,2,18172.866,868627,393264,NA,1.040825065,3868.24886,6,8.248,0,96.5249939,67.175,5498.61368
Finland,FIN,0.873,0.986,0.882,1,1,2.063,10,333891.198,5479531,809601,27.1,0.413878313,29900.87062,5,12.03,0,100,81.42926829,43861.32391
Greece,GRC,0.88,0.877,0.894,2,2,0.267,10,130247.978,10820883,2375617,36,0.068717082,15940.48145,5,10.7,0,100,81.38780488,18036.53922
Guyana,GUY,0.623,0.616,0.811,3,2,-0.527,7,211982.005,767432,564516,NA,8.564432501,3299.995122,2,8.941,0,89.25455475,69.454,5759.667724
Hong Kong,HKG,0.347,0.906,0.833,2,5,1.826,NA,NA,7291300,0,NA,0.001125736,25619.94743,6,NA,0,100,84.22682927,43084.76508
Iceland,ISL,0.866,0.983,0.906,1,1,1.667,NA,102510.041,330815,20841,26.8,0.000301799,34188.3821,5,11.388,0,100,82.20487805,55513.6423
Israel,ISR,0.743,0.906,0.805,2,1,1.162,6,28159.601,8380100,655408,NA,0.246481302,25179.96993,3,10.716,0,100,82.40731707,36462.31124
Kuwait,KWT,0.326,0.63,0.684,5,5,0.001,-7,16798.111,3835591,0,NA,37.05523006,34712.31105,3,NA,0,100,75.224,29801.23802
Lithuania,LTU,0.838,0.96,0.887,1,1,1.008,10,64857.557,2904910,951939,37.4,0.3549815,4934.035545,1,11.584,0,100,74.67073171,14804.29689
Luxembourg,LUX,0.896,0.963,0.882,1,1,1.875,10,2577.809,569604,55941,32.9,0.012654971,74865.98242,5,NA,0,100,82.68536585,103753.5807
North Macedonia,MKD,0.464,0.276,0.77,3,4,-0.189,9,25483.193,2079328,881751,35.6,0.911213135,2898.222344,1,NA,0,100,75.498,4978.066961
Malaysia,MYS,0.303,0.406,0.603,4,4,0.502,5,330691.511,30270962,7805974,41.1,6.71145829,5727.115058,6,9.63,0,100,75.649,10258.04151
Malta,MLT,0.774,0.829,0.871,1,1,1.136,NA,295.019,445053,24861,29.4,0,12344.77156,5,NA,0,100,82.45365854,25354.17544
Mauritius,MUS,0.836,0.737,0.818,2,1,0.855,10,2155.897,1262605,744937,NA,0.001171309,4452.478331,4,7.828,0,99.54343414,74.39487805,9609.250983
Montenegro,MNE,0.46,0.642,0.825,3,3,0.052,9,14021.896,622159,212741,39,0.721398982,NA,1,NA,0,100,76.568,6707.824582
New Zealand,NZL,0.888,0.993,0.913,1,1,2.001,10,268943.319,4595700,629598,NA,1.290506303,28033.93496,5,12.33,0,100,81.61243902,39181.69283
Norway,NOR,0.882,0.993,0.926,1,1,2.011,10,319586.663,5188607,981114,27.5,5.333785795,58151.59918,5,12.6,0,100,82.40731707,74493.11794
Oman,OMN,0.174,0.667,0.588,5,6,0.377,-8,310330.682,4267348,795859,NA,23.97357637,17699.76585,3,NA,0,100,77.142,16053.6282
Paraguay,PRY,0.601,0.454,0.73,3,3,-0.692,9,400653.401,6688746,2625333,47.6,1.598966632,4261.828555,2,7.07,0,98.4,73.836,5570.605349
Romania,ROU,0.708,0.781,0.887,2,2,0.158,9,237334.065,19815481,9137575,35.9,0.963373196,4551.535548,1,10.357,0,99.1,75.2097561,9444.994917
Sao Tome and Principe,STP,0.76,0.779,0.78,2,2,-0.756,NA,1149.775,199432,59485,NA,3.412883358,NA,4,NA,0,69.42658234,69.67,1620.056461
Saudi Arabia,SAU,0.022,0.247,0.459,7,7,0.118,-10,1933234.385,31717667,5334913,NA,24.10706865,18070.40185,3,8.475,1,99.9,74.761,20503.38177
Serbia,SRB,0.483,0.481,0.866,2,2,-0.117,8,77201.66,7095383,3143538,40.5,1.245589443,2781.246987,1,NA,0,100,75.68780488,5805.899396
Seychelles,SYC,0.456,0.867,0.528,3,3,0.201,NA,380.173,93419,41665,NA,0.102871431,8955.916768,4,10.405,0,100,74.3097561,15213.25099
Singapore,SGP,0.397,0.972,0.8,4,4,1.813,-2,554.86,5535002,0,NA,0.000382738,30366.68618,6,10.53,0,100,82.84634146,56757.91827
Slovakia,SVK,0.854,0.829,0.882,1,1,0.504,10,48884.72,5423801,2500969,26.5,0.26276195,7539.077262,1,11.176,0,100,77.16585366,16637.39424
Slovenia,SVN,0.869,0.942,0.9,1,1,0.975,10,20415.613,2063531,953743,25.4,0.263555917,13270.73505,1,NA,0,100,81.17560976,21532.51516
Solomon Islands,SLB,0.566,0.579,0.655,3,3,-0.486,8,27157.469,603118,468272,NA,16.67728424,2560.01885,6,NA,0,58.48770142,72.424,2234.146102
Vanuatu,VUT,0.73,0.812,0.774,2,2,0.104,NA,12335.118,271130,203452,NA,0.784549066,2702.822075,6,NA,0,57.82,70.021,2749.073922
United Arab Emirates,ARE,0.095,0.73,0.341,6,6,0.641,-8,70685.174,9262900,1327002,NA,14.05058311,60169.07425,3,NA,0,100,77.47,39429.3804
Hungary,HUN,0.607,0.711,0.903,2,2,0.4,10,92949.133,9843028,2903693,30.4,0.281004931,7677.987696,1,11.19,0,100,76.06341463,13017.17658
Zanzibar,ZZB,0.316,0.278,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,NA,NA,NA
