country_name,country_code,dem_vdem,rle_vdem,prop_vdem,fh_cl,fh_pr,rle_wb,dem_polity,area,pop,pop_rural,gini,nat_resources,gdp_pc.1995,region,educ,conflict,elec_access,life_exp,gdp_pc
Iraq,IRQ,0.42,0.249,0.637,6,5,-1.418,6,437462.661,35572261,10699783,NA,34.2467187,2026.936665,3,6.78,1,99.65268707,70.122,5183.408969
Ireland,IRL,0.889,0.975,0.886,1,1,1.775,10,69507.089,4701957,1761447,31.8,0.017802752,27987.56149,5,10.69,0,100,81.65365854,62543.46906
Italy,ITA,0.881,0.912,0.9,1,1,0.275,10,300242.621,60730582,18483353,35.4,0.081836473,29253.32217,5,10.95,0,100,83.24390244,30673.30784
Jordan,JOR,0.262,0.618,0.802,5,6,0.439,-3,89491.068,9266575,902935,NA,1.400035893,3420.425244,3,9.177,0,99.99480438,74.184,4119.252115
Latvia,LVA,0.86,0.956,0.87,2,2,0.795,8,64469.191,1977527,633204,34.2,0.971074416,4968.687059,1,11.015,0,100,74.5804878,14230.9281
Lesotho,LSO,0.61,0.608,0.625,3,3,-0.174,8,30621.429,2059021,1504972,NA,6.184519147,659.6680304,4,6.589,0,35.18151093,52.059,1178.018451
Liberia,LBR,0.642,0.454,0.815,4,3,-0.857,6,96634.517,4472230,2244165,NA,19.75276888,NA,4,5.576,0,17.7,62.802,681.5621768
Malawi,MWI,0.592,0.545,0.398,3,3,-0.307,6,119198.864,16745303,14013643,NA,8.855925673,275.2046509,4,4.77,0,11,62.681,379.6239342
Maldives,MDV,0.394,0.225,0.684,5,4,-0.576,NA,33.854,454915,279640,NA,0.005869166,5538.792992,6,NA,0,100,78.013,9189.986948
Mongolia,MNG,0.656,0.653,0.885,2,1,-0.38,10,1562323.427,2998439,952602,NA,9.789107021,1451.591526,1,NA,0,91.00872803,69.321,3889.237589
Morocco,MAR,0.294,0.558,0.745,4,5,-0.089,-4,674614.243,34663603,13585015,NA,2.443517618,1541.397023,3,4.39,0,97.8,75.974,3212.817828
Netherlands,NLD,0.883,0.986,0.906,1,1,1.944,10,35485.575,16939923,1664686,28.2,0.432116071,33683.19507,5,11.53,0,100,81.56097561,45920.31402
Panama,PAN,0.791,0.622,0.876,2,2,-0.106,9,74612.568,3968487,1321666,50.8,0.13497609,6059.829352,2,9.06,0,93.17071533,77.964,14062.43613
Papua New Guinea,PNG,0.471,0.484,0.704,3,4,-0.869,5,465827.908,8107775,7052789,NA,11.66608378,2146.540816,6,NA,0,49.4,63.744,2770.395138
Qatar,QAT,0.087,0.489,0.425,5,6,0.771,-10,11143.663,2565710,27068,NA,19.93349784,NA,3,NA,0,100,79.868,62800.36806
Sierra Leone,SLE,0.498,0.321,0.663,3,3,-0.854,7,72952.343,7171914,4243690,NA,10.57136024,421.2792745,4,3.99,0,20.3,53.444,610.4900558
Spain,ESP,0.873,0.978,0.894,1,1,0.902,10,506733.604,46444832,9473817,36.2,0.047946213,19994.02769,5,10.26,0,100,83.32926829,26489.65868
Syria,SYR,0.142,0.039,0.394,7,7,-1.423,-9,187318.011,17997408,8608522,NA,NA,1200.069828,3,7.99,1,89.69534302,70.315,NA
Tunisia,TUN,0.73,0.874,0.846,3,1,-0.066,7,155771.466,11179949,3571324,32.8,2.403928254,2331.750948,3,6.331,0,100,76.115,3867.050574
Turkey,TUR,0.434,0.485,0.58,4,3,-0.113,3,781079.221,78529409,20723127,42.9,0.214453625,5782.253116,3,6.75,1,100,76.86,11187.05364
Ukraine,UKR,0.418,0.226,0.855,3,3,-0.814,4,596958.709,45154029,13970207,25.5,2.689199011,1497.809915,1,11.512,1,100,71.47634146,2903.795409
United Kingdom,GBR,0.863,0.973,0.826,1,1,1.813,10,243845.076,65128861,11313292,33.2,0.331668096,33645.0733,5,13.3,0,100,81.15609756,45469.07774
Uruguay,URY,0.865,0.963,0.846,1,1,0.712,10,178357.241,3412009,169065,40.1,1.839183282,9012.815847,2,8.71,0,99.7,77.498,15821.35902
Algeria,DZA,0.293,0.236,0.743,5,6,-0.864,2,2326148.441,39728025,11581512,NA,15.85764042,2834.265193,3,7.3,0,99.40287018,76.298,4224.034583
Angola,AGO,0.304,0.194,0.664,6,6,-1.082,-2,1254965.956,27884381,10192856,NA,10.80155578,2146.455653,4,2.98,0,41.79737854,59.925,3924.620471
Armenia,ARM,0.356,0.264,0.895,4,5,-0.388,5,29702.499,2925553,1079970,32.4,0.760031512,958.5062383,1,10.818,0,99.8,74.64,3601.469664
Azerbaijan,AZE,0.189,0.027,0.503,6,7,-0.674,-7,86045.875,9649341,4369801,NA,14.56859577,1102.459147,1,10.803,0,100,72.493,5272.532909
